Subject,ROI,RSN,Correlation
sub-01,roi1,DMN,0.5438685539422595
sub-01,roi1,FPN,0.5900580479018928
sub-01,roi1,SN,0.6895476397437513
sub-01,roi2,DMN,0.5677792267523687
sub-01,roi2,FPN,0.5829170219780547
sub-01,roi2,SN,0.6851321165078998
sub-02,roi1,DMN,0.0783940334242104
sub-02,roi1,FPN,0.37141726078943277
sub-02,roi1,SN,0.6366621433759194
sub-02,roi2,DMN,0.17835897063996162
sub-02,roi2,FPN,0.3173770843386578
sub-02,roi2,SN,0.5050182403764575
sub-03,roi1,DMN,0.5959526069254558
sub-03,roi1,FPN,0.6574105573734105
sub-03,roi1,SN,0.6398348507001469
sub-03,roi2,DMN,0.5996990256124843
sub-03,roi2,FPN,0.6440226811615327
sub-03,roi2,SN,0.7027880972749778
sub-04,roi1,DMN,0.4430110358231542
sub-04,roi1,FPN,0.5813725861025814
sub-04,roi1,SN,0.664371872087989
sub-04,roi2,DMN,0.5603140671872363
sub-04,roi2,FPN,0.5228383244110676
sub-04,roi2,SN,0.6411256541910964
sub-05,roi1,DMN,0.4636367594371742
sub-05,roi1,FPN,0.45953847488199306
sub-05,roi1,SN,0.6876108892440864
sub-05,roi2,DMN,0.4679243680963522
sub-05,roi2,FPN,0.4259182598932028
sub-05,roi2,SN,0.7035629108247039
sub-06,roi1,DMN,-0.03918634877126845
sub-06,roi1,FPN,0.4431381930960867
sub-06,roi1,SN,0.5122232537199899
sub-06,roi2,DMN,-0.17902011834033246
sub-06,roi2,FPN,0.47016280005366834
sub-06,roi2,SN,0.6579077585046805
